Id,preco
0,1410272.3871388393
1,356555.21702892036
2,664454.8854482739
3,331255.72650208446
4,327158.78477042285
5,151621.93340417327
6,753502.1483095372
7,543649.011040631
8,313239.6628370799
9,1519662.8387797158
10,742892.1103686317
11,748758.8687173461
12,1120229.7354191588
13,351670.41755803477
14,782128.2499154471
15,615431.6198730501
16,367165.2549698259
17,401481.5408724824
18,410498.33624830307
19,1144095.0303462413
20,772323.5968004025
21,172036.6244601235
22,411286.1939875272
23,352458.2752972588
24,264198.87017521966
25,245571.52282295888
26,541896.7215102147
27,522287.41528012534
28,1060755.478868361
29,948001.9680453468
30,337751.2956246917
31,1572049.1635370771
32,1253397.9372981237
33,1596560.796324689
34,1351444.468448571
35,449716.94870848197
36,478166.476262424
37,1988746.9209264782
38,443850.1903597675
39,429143.2106872004
40,2135816.717652149
41,1050950.8257533163
42,367165.2549698259
43,1513221.2448468087
44,1497691.3532617441
45,238722.8055964157
46,5503885.351436154
47,566408.3542978265
48,230076.68541116774
49,376182.05034564657
50,502678.1090500358
51,323044.3159521246
52,684240.7657303313
53,923490.3352577349
54,983929.023599725
55,327158.78477042285
56,625236.272988095
57,429931.0684264245
58,1076267.8433667892
59,2047574.8396167466
60,1890700.389776031
61,532092.06839517
62,1042756.9422899933
63,2668241.4488397026
64,322256.45821290056
65,435009.96903591487
66,566408.3542978265
67,1214161.797751308
68,811542.2092605813
69,272427.8078118161
70,1829863.4399018162
71,160462.15472802584
72,523251.8470713174
73,787013.049386333
74,302647.15198281105
75,2139754.6124184793
76,292824.97178112966
77,528942.031368064
78,229094.72653333895
79,438947.8638022451
80,517385.08872260293
81,453654.8434748122
82,287940.17231024394
83,1625010.323878631
84,2443698.858984866
85,435009.96903591487
86,312451.80509785586
87,615431.6198730501
88,541896.7215102147
89,307549.47854033345
90,636005.3578943318
91,1004326.1875690384
92,170266.8078430706
93,298532.6831645128
94,29851.6272053383
95,987220.5805055257
96,1156315.8379388684
97,1933856.8970025396
98,439735.7215414692
99,590919.9870854383
100,782110.7228288106
101,327158.78477042285
102,1523025.8979618535
103,874467.0696825113
104,424240.884129678
105,1053349.453144262
106,811542.2092605813
107,1282970.943608589
108,322256.45821290056
109,551701.3746252594
110,361475.07067307946
111,806639.8827030589
112,524039.7048105416
113,385986.70346069126
114,558550.0918518027
115,430895.5002176166
116,571310.6808553489
117,2576061.67603797
118,1146511.1848238236
119,372067.5815273483
120,2559743.926713681
121,298532.6831645128
122,501084.8664849509
123,273215.6655510402
124,199680.76718820474
125,743697.4951944924
126,449716.94870848197
127,1625010.323878631
128,299320.540903737
129,1282006.511817397
130,1158244.7015212527
131,2300584.484112162
132,922525.9034665428
133,2774640.910418804
134,1513221.2448468087
135,581115.3339703936
136,406560.44148197275
137,4400301.991020481
138,953709.6794287299
139,332061.11132794525
140,2331909.7799530434
141,405596.00969078066
142,377128.95505020197
143,1503399.0646451274
144,480724.15061870107
145,639943.252660662
146,307531.95145369676
147,1988746.9209264782
148,713478.1510234975
149,1268104.9169706907
150,626200.7047792871
151,684064.1916783632
152,923490.3352577349
153,723300.3312251789
154,492873.4559349911
155,1081152.6428376748
156,492873.4559349911
157,385986.70346069126
158,571310.6808553489
159,2154461.5920910463
160,1492806.5537908585
161,478166.476262424
162,1272360.9056676836
163,507580.43560755823
164,225962.21659286952
165,347555.9487397364
166,492068.0711091303
167,561506.0277403042
168,400693.68313325837
169,1438075.5768322516
170,713478.1510234975
171,395791.35657573596
172,679161.865120841
173,768209.1279821042
174,527189.7418376476
175,2469174.9235636694
176,693886.3718800447
177,312451.80509785586
178,1371053.77467866
179,155736.4022224715
180,1081170.1699243113
181,361475.07067307946
182,1812263.164855673
183,762501.416598721
184,753502.1483095372
185,395791.35657573596
186,537170.9690046604
187,492873.4559349911
188,1552422.330220351
189,352458.2752972588
190,1871091.0835459414
191,1387848.6648989427
192,263411.01243599545
193,296939.4405994279
194,356572.74411555706
195,973159.9386934879
196,175956.9921398171
197,1894797.331507692
198,303435.0097220352
199,630138.5995456174
200,1308287.961222062
201,292037.11404190556
202,590919.9870854383
203,1472391.8627349082
204,743697.4951944924
205,155559.8281705035
206,160462.15472802584
207,317354.13165537815
208,1296872.5384552954
209,1434784.0199264511
210,845053.1103373771
211,2095633.6734007783
212,492873.4559349911
213,522287.41528012534
214,1622770.7434530165
215,287940.17231024394
216,189876.11407316005
217,733264.0313055549
218,507580.43560755823
219,319106.4211857944
220,532092.06839517
221,791932.9030304919
222,5194886.01663274
223,288728.0300494681
224,352458.2752972588
225,631103.0313368094
226,347555.9487397364
227,620333.9464305725
228,14018091.861295164
229,590919.9870854383
230,362262.9284123035
231,577177.4392040634
232,307549.47854033345
233,630138.5995456174
234,639943.252660662
235,304222.8674612593
236,875272.4545083721
237,1253397.9372981237
238,1380858.427793705
239,536994.3949526923
240,959417.390812113
241,253606.35932095075
242,522287.41528012534
243,448752.5169172898
244,726034.5796334237
245,372067.5815273483
246,805657.9238252303
247,590919.9870854383
248,513447.1939562727
249,959417.390812113
250,1596560.796324689
251,558355.9907131981
252,522287.41528012534
253,581115.3339703936
254,630138.5995456174
255,728185.1306960646
256,288728.0300494681
257,992928.2918889087
258,2047574.8396167466
259,814276.4576688263
260,572098.538594573
261,615431.6198730501
262,272427.8078118161
263,1161200.637409754
264,352458.2752972588
265,503465.96678926004
266,347555.9487397364
267,817232.3935573278
268,155736.4022224715
269,1513221.2448468087
270,371279.72378812416
271,653862.3745940049
272,708593.3515526117
273,478166.476262424
274,487971.1293774687
275,479130.9080536162
276,448911.5638826211
277,1370248.3898527995
278,288728.0300494681
279,880174.7810658945
280,185761.64525486183
281,1051756.2105791774
282,327158.78477042285
283,312451.80509785586
284,1232983.2462421735
285,3431252.1022827746
286,480724.15061870107
287,885077.1076234167
288,522287.41528012534
289,791932.9030304919
290,938197.314930302
291,924278.1929969591
292,850760.8217207603
293,576213.0074128712
294,2252508.1232414935
295,547763.4798589293
296,601689.0719916753
297,870370.1279508497
298,269295.29787134664
299,885059.5805367802
300,1209259.4711937858
301,758404.4748670596
302,361475.07067307946
303,655614.6641244212
304,332848.9690671694
305,223404.5422365925
306,307531.95145369676
307,484033.23461113847
308,400693.68313325837
309,576213.0074128712
310,272427.8078118161
311,2074289.6047269092
312,1439686.3464839733
313,596610.1713821848
314,293630.35660699045
315,1171022.8176114354
316,1571243.7787112165
317,1325322.0660092374
318,351670.41755803477
319,479936.292879477
320,313239.6628370799
321,1811298.7330644806
322,1095877.1495968783
323,317354.13165537815
324,332043.58424130856
325,605626.9667580054
326,435009.96903591487
327,1728923.6133777928
328,904686.4138535063
329,460309.4595627508
330,758404.4748670596
331,180248.0350100833
332,605626.9667580054
333,853495.0701290051
334,1424979.3668114063
335,492873.4559349911
336,352458.2752972588
337,477378.6185231998
338,1557501.2308298415
339,528154.1736288398
340,395791.35657573596
341,1487098.8424074752
342,1155510.4531130078
343,1322030.5091034365
344,615767.2408903494
345,1473338.767439464
346,558373.5177998348
347,743697.4951944924
348,590919.9870854383
349,1332799.5940096737
350,547763.4798589293
351,1089612.1297159395
352,541896.7215102147
353,1340029.0456818044
354,312451.80509785586
355,610529.2933155278
356,640907.6844518542
357,1104319.1093885065
358,341865.76444298995
359,1500036.0054629897
360,337751.2956246917
361,1011174.9047955816
362,238899.37964838365
363,376182.05034564657
364,322256.45821290056
365,856451.0060175068
366,1345895.804030519
367,190663.9718123842
368,1728923.6133777928
369,1860321.9986397042
370,362262.9284123035
371,519137.3782530192
372,763306.8014245818
373,1629912.6504361532
374,997830.6184464311
375,1767177.7940467796
376,449716.94870848197
377,523251.8470713174
378,2126745.947086628
379,749564.2535432068
380,645810.0110093765
381,313239.6628370799
382,536994.3949526923
383,730529.7828973097
384,1015670.1080594676
385,743856.5421598238
386,1074905.1500433725
387,1345754.2841518242
388,313239.6628370799
389,959417.390812113
390,915437.9716731065
391,361475.07067307946
392,1493283.6946868524
393,665419.317239466
394,293630.35660699045
395,362262.9284123035
396,376182.05034564657
397,484033.23461113847
398,679161.865120841
399,615431.6198730501
400,707611.3926747829
401,420302.98936334776
402,635040.9261031396
403,356572.74411555706
404,894076.3759126008
405,1674980.49415841
406,313239.6628370799
407,581115.3339703936
408,1097487.9192486
409,517385.08872260293
410,694833.2765846002
411,283825.7034919457
